onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.008000000000003	Etrue	1.0	1.106	5 - 2 =	3
4.008000000000003	4.408999999999999	EFalse	1.0	1.003	8 - 5 =	2
8.417000000000002	3.0060000000000002	control	1.0	0.772	n/a	/BLUEbox.bmp
11.423000000000002	4.009	HTrue	1.0	1.074	9 - 7 =	2
15.432000000000002	4.008000000000003	Etrue	1.0	1.081	8 - 5 =	3
19.440000000000005	3.0060000000000002	control	1.0	0.344	n/a	/BLUEbox.bmp
22.446000000000005	4.007999999999996	Etrue	1.0	1.091	5 - 2 =	3
26.454	4.009	Hfalse	1.0	1.146	8 - 2 =	7
30.463	4.007999999999996	EFalse	1.0	1.101	5 - 2 =	2
34.471	3.0060000000000002	control	1.0	0.305	n/a	/BLUEbox.bmp
37.477	4.810000000000002	EFalse	1.0	1.354	8 - 7 =	3
42.287	3.0060000000000002	control	1.0	0.601	n/a	/BLUEbox.bmp
45.293	4.810000000000002	HTrue	1.0	1.098	7 - 2 =	5
50.103	4.810000000000002	Hfalse	1.0	1.392	7 - 2 =	6
54.913000000000004	4.810000000000002	HTrue	1.0	1.227	8 - 2 =	6
59.723000000000006	4.207999999999998	HTrue	1.0	1.337	9 - 2 =	7
63.931000000000004	3.4069999999999894	control	1.0	0.254	n/a	/BLUEbox.bmp
67.338	4.0090000000000146	Etrue	1.0	1.29	6 - 5 =	1
71.34700000000001	4.408999999999992	Etrue	1.0	1.116	6 - 4 =	2
75.756	3.8079999999999927	control	1.0	0.605	n/a	/BLUEbox.bmp
79.564	4.00800000000001	EFalse	1.0	1.09	5 - 3 =	1
83.572	4.00800000000001	HTrue	1.0	1.604	7 - 4 =	3
87.58000000000001	3.4069999999999823	control	1.0	0.489	n/a	/BLUEbox.bmp
90.987	4.209000000000003	HTrue	1.0	1.228	7 - 4 =	3
95.196	4.40900000000002	Etrue	1.0	1.108	6 - 5 =	1
99.60500000000002	3.8079999999999927	control	1.0	0.833	n/a	/BLUEbox.bmp
103.41300000000001	4.8089999999999975	Etrue	1.0	1.197	3 - 2 =	1
108.22200000000001	4.008999999999986	Hfalse	1.0	1.125	8 - 6 =	4
112.231	4.40900000000002	Hfalse	1.0	1.191	9 - 4 =	4
116.64000000000001	4.810000000000002	Etrue	1.0	1.192	8 - 7 =	1
121.45000000000002	4.810000000000002	HTrue	1.0	1.12	8 - 6 =	2
126.26000000000002	4.408999999999992	Etrue	1.0	1.079	5 - 3 =	2
130.669	4.408999999999992	Etrue	1.0	1.054	5 - 4 =	1
135.078	4.810000000000002	Etrue	1.0	1.033	4 - 3 =	1
139.888	4.408999999999992	HTrue	1.0	1.097	9 - 2 =	7
144.297	4.40900000000002	Hfalse	1.0	1.191	9 - 7 =	4
148.70600000000002	4.810000000000002	Etrue	1.0	1.156	8 - 7 =	1
153.51600000000002	3.806999999999988	control	1.0	0.722	n/a	/BLUEbox.bmp
157.323	3.4070000000000107	control	1.0	0.57	n/a	/BLUEbox.bmp
160.73000000000002	3.8079999999999927	control	1.0	0.304	n/a	/BLUEbox.bmp
164.538	4.408999999999992	HTrue	1.0	1.133	9 - 4 =	5
168.947	4.408999999999992	HTrue	1.0	1.04	6 - 2 =	4
173.356	4.810000000000002	EFalse	1.0	1.135	4 - 3 =	2
178.166	4.810000000000002	Hfalse	1.0	1.062	7 - 3 =	3
182.976	3.4070000000000107	control	1.0	0.582	n/a	/BLUEbox.bmp
186.383	4.810000000000002	EFalse	1.0	1.156	3 - 2 =	2
191.193	4.408999999999992	HTrue	1.0	1.158	9 - 6 =	3
195.602	4.804000000000002	HTrue	1.0	1.141	7 - 2 =	5
200.406	22.007000000000005	n/a	n/a	n/a	n/a	/REDbox.bmp
